OBJECTID,REF_ID_COD,UNIQUE_ID,DATA_SOURC,LOC_METHOD,ORIG_ID,SLIDE_NAME,LENGTH_ft,WIDTH_ft,DEPTH_ft,SLOPE,TYPE_MOVE,MOVE_CLASS,CONTR_FACT,TYPE_MTRL,AREA_ft2,VOLUME_ft3,DEEP_SHAL,DAMAGES,LOSSES,COMMENTS,ANNUAL_COST,REPAIR_COST,YEAR,DATE_RANGE,REACTIVATION,MONTH,DAY,x,y
1,ODOT2011,LS_0,Oregon Department of Transportation,,SL002-0116-92RE1,Matties Hump,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2; Other Damage:Fatality,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:116.92;Frequency:every 5 yrs or less;,47.68,1285220,,,,,,-13425711.6367372,5738821.85701657
2,ODOT2011,LS_1,Oregon Department of Transportation,,SL002-0120-30RE1,,0,0,0,0,,Debris Flow,,,0,0,,Road Impact: ;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:120.3;Frequency:every yr;min site measured by truck,237.11,98678.6,,,,,,-13419127.5228188,5735332.52542283
3,ODOT2011,LS_2,Oregon Department of Transportation,,SL002-0124-20RE1,Phillipi Canyon,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:4; Other Damage:Property Damage,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:124.2;Frequency:every yr;,47.68,1.37936E+07,,,,,,-13411992.0645977,5730368.15520267
4,ODOT2011,LS_3,Oregon Department of Transportation,,SL002-0127-71RE1,,0,0,0,0,,Debris Flow,,,0,0,,Road Impact: ;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:127.71;Frequency: ;debris flow splatter site,246.26,98678.6,,,,,,-13403372.4729921,5731216.50233272
5,ODOT2011,LS_4,Oregon Department of Transportation,,SL002-0129-07RE1,Blalock Canyon RF West,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:129.07;Frequency:every 2 yrs;,47.68,2592600,,,,,,-13400842.4848191,5731366.02889143
6,ODOT2011,LS_5,Oregon Department of Transportation,,SL002-0129-29RE1,Blalock Canyon East,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:129.29;Frequency:every 1 to 2 yrs;,47.68,2585750,,,,,,-13400355.2621203,5731476.28447766
7,ODOT2011,LS_6,Oregon Department of Transportation,,SL002-0129-83RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:129.83;Frequency:every 5 yrs or less;,47.68,81971.2,,,,,,-13399182.0663792,5731888.94188088
8,ODOT2011,LS_7,Oregon Department of Transportation,,SL002-0129-95RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2;Other Impact:eastern of two adjacent slopes;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:129.95;Frequency:every 5 yrs or less;,47.68,158070,,,,,,-13398926.8059827,5732019.50601115
9,ODOT2011,LS_8,Oregon Department of Transportation,,SL002-0194-66RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:194.66;Frequency:5 times or more a yr;,288.43,13185.6,,,,,,-13259574.0226355,5768130.91605479
10,ODOT2011,LS_9,Oregon Department of Transportation,,SL002-0197-75RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF fills lane;Lanes Affected:2; Other Damage:Fatality,," Hwy Name:Columbia River; Hwy Number:002;Mile Post:197.75;Frequency:5 times or more a yr;section collected on opposite side, western  half of cont. slope",9059.49,810395,,,,,,-13253903.7027648,5772248.9928634
11,ODOT2011,LS_10,Oregon Department of Transportation,,SL002-0197-85RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF fills lane;Lanes Affected:2; Other Damage:Fatality,," Hwy Name:Columbia River; Hwy Number:002;Mile Post:197.85;Frequency:5 times or more a yr;eastern half of single slope, section collected on opposite side",3678.27,1337660,,,,,,-13253708.879716,5772387.70178639
12,ODOT2011,LS_11,Oregon Department of Transportation,,SL002-0030-07LW1,,0,0,0,0,,Fill Failure,,,0,0,,Road Impact:LS leaves 1-way traf;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:30.08;Frequency:every 5 yrs or less;,0,0,,,,,,-13596992.9366815,5712637.33495474
13,ODOT2011,LS_12,Oregon Department of Transportation,,SL002-0032-37LW1,,0,0,0,0,,Fill Failure,,,0,0,,Road Impact:LS leaves 1-way traf;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:32.38;Frequency:every 5 yrs or less;,0,0,,,,,,-13591901.6050587,5713848.0170876
14,ODOT2011,LS_13,Oregon Department of Transportation,,SL002-0037-72RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF fills lane;Lanes Affected:4; Other Damage:Injury,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:37.72;Frequency:every 5 yrs or less;gps from center of  rd,1222.05,957838,,,,,,-13580868.9927153,5718657.82538866
15,ODOT2011,LS_14,Oregon Department of Transportation,,SL002-0038-51RE1,,0,0,0,0,,Fill Failure,,,0,0,,Road Impact:LS close 3-10mi det;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:38.53;Frequency:every 5 yrs or less;,0,0,,,,,,-13579370.1275206,5719623.48941082
16,ODOT2011,LS_15,Oregon Department of Transportation,,SL002-0039-99RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:1;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:40.09;Frequency:every yr;,163.085,78621.4,,,,,,-13576480.7329157,5721431.02022947
17,ODOT2011,LS_16,Oregon Department of Transportation,,SL002-0041-58LE1,,0,0,0,0,,Landslide,,,0,0,,Road Impact:LS close 3-10mi det;Lanes Affected:1;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:41.58;Frequency:every 5 yrs or less;on exit 41,0,0,,,,,,-13573270.7720805,5722791.1415194
18,ODOT2011,LS_17,Oregon Department of Transportation,,SL002-0041-62RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:1;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:41.62;Frequency:every yr;on exit 41,0,0,,,,,,-13573188.8434722,5722802.6805742
19,ODOT2011,LS_18,Oregon Department of Transportation,,SL002-0041-70RE1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:1;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:41.71;Frequency:every yr;off  ramp east bound,1222.29,43737.6,,,,,,-13572958.0051932,5722733.80925922
20,ODOT2011,LS_19,Oregon Department of Transportation,,SL002-0042-58LW1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF onto shoulder;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:42.62;Frequency:every yr;,608.79,46047.9,,,,,,-13575405.8441441,5722085.02377842
21,ODOT2011,LS_20,Oregon Department of Transportation,,SL002-0042-90BB1,,0,0,0,0,,Fill Failure,,,0,0,,Road Impact:LS leaves 1-way traf;Lanes Affected:3;,," Hwy Name:Columbia River; Hwy Number:002;Mile Post:42.92;Frequency:every 5 yrs or less;settlement induced ridge across road, also above culvert",0,0,,,,,,-13570784.2860764,5724282.91270524
22,ODOT2011,LS_21,Oregon Department of Transportation,,SL002-0043-41LW1,,0,0,0,0,,Fill Failure,,,0,0,,Road Impact:LS leaves 1-way traf;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:43.41;Frequency:every 5 yrs or less;,0,0,,,,,,-13569904.8429225,5725508.46195397
23,ODOT2011,LS_22,Oregon Department of Transportation,,SL002-0043-99LW1,,0,0,0,0,,Fill Failure,,,0,0,,Road Impact:LS leaves 1-way traf;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:43.99;Frequency:every 5 yrs or less;,0,0,,,,,,-13569151.4800012,5726597.50689633
24,ODOT2011,LS_23,Oregon Department of Transportation,,SL002-0044-05LW1,,0,0,0,0,,Fill Failure,,,0,0,,Road Impact:LS leaves 1-way traf;Lanes Affected:2;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:44.05;Frequency:every 5 yrs or less;,0,0,,,,,,-13569059.4990439,5726700.51680976
25,ODOT2011,LS_24,Oregon Department of Transportation,,SL002-0044-69LW1,,0,0,0,0,,Rockfall,,,0,0,,Road Impact:RF on roadway;Lanes Affected:1;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:44.77;Frequency:every 1 to 2 yrs;,636.01,126809,,,,,,-13567949.6396254,5727623.38967524
26,ODOT2011,LS_25,Oregon Department of Transportation,,SL002-0048-00BB1,Farley Slide,0,0,0,0,,Landslide,,,0,0,,Road Impact:LS leaves 1-way traf;Lanes Affected:3;,, Hwy Name:Columbia River; Hwy Number:002;Mile Post:48;Frequency:every 1 to 2 yrs;,8575.29,4201770,,,,,,-13561939.7827175,5731840.5080037
